action,action_id,audit_method,controller_trace_hash,core_episode_id,failure_mode,plan_id,source_episode_id,step_idx,trace_consistent,y_exec
move_to,b617f98542a94ddc8a3fb7d3264de212:1:1,deterministic_controller_trace_reconstruction,04c1c6577d6f8ebbd159d3541455b66ace7742104c9b336830f95a2c32322c08,hard-32-smelt_iron_ingot--core-seed-11001,none,86348e59187d42bba4e1eee9df397270,hard-32-smelt_iron_ingot--seed-12021,3,True,1
craft,1fb9204478e14a5281f993c0496d4f7f:0:1,deterministic_controller_trace_reconstruction,1778edbc4b58bff7bf3169d37a967b25b85595d1940380be9e2b696161de45da,hard-35-craft_iron_pickaxe--core-seed-11001,none,061fedb06d5b431cb97a180a7169b074,hard-35-craft_iron_pickaxe--seed-12011,1,True,1
mine,0352f2d2c452437f9e72d18cad5bea44:2:3,deterministic_controller_trace_reconstruction,9b0e4937023d2cf5dace3e0934e9637ba86429ed7d17bbd23a214f1d5fcff397,complex-41-obtain_diamond--core-seed-11001,none,3e248070b7974e24bf0e623d8e119cb0,complex-41-obtain_diamond--seed-11006,17,True,1
mine,2e3ac78ecf574f0ea30f44cdfc8f5940:2:6,deterministic_controller_trace_reconstruction,21f81f994859add0b0a60cac8c833436d38ed21f460ffd23494299fdf97e24b0,complex-41-obtain_diamond--core-seed-11002,none,76e3e98be4c34d7db79fd943f098fb6b,complex-41-obtain_diamond--seed-13003-rerun1,19,True,1
find,302846e1f7cc447f8a4bce923fd964a0:0:1,deterministic_controller_trace_reconstruction,df6fd6298ac49a3e65324736ad4adae8db9eeb73808351ceee26aa719abc267e,hard-35-craft_iron_pickaxe--core-seed-11001,none,d27d2b04c40d4815a584e5e7901bbc90,hard-35-craft_iron_pickaxe--seed-12011,22,True,1
move_to,448ed04e33184b9b8e3bbf4b7c8a869d:1:1,deterministic_controller_trace_reconstruction,b9964d3eec455a677fe39ef9c21c455873ac9b1b9656b4911345cc07982c5924,basic-05-mine_dirt--core-seed-11001,none,33d637ba60c84ddd909fd32cd2a05b0c,basic-05-mine_dirt--seed-11001,1,True,1
move_to,1dd0b3aa918a4704bc8c58f6a1e8f25c:1:7,deterministic_controller_trace_reconstruction,58880484a17e2c664b0bf91e2a0032cf98b2cc538db8955ffc4b6044a3d38358,complex-41-obtain_diamond--core-seed-11002,none,40afc7bbbc994b07af87afa5096c419b,complex-41-obtain_diamond--seed-13003-rerun1,38,True,1
craft,d26e69ce2a094f1a8f53ca10b9e9ddf0:0:1,deterministic_controller_trace_reconstruction,aa729d1c3fb2a1557e7feb45a7b6b0e3c63428b0e777e5a662015318396e9726,hard-32-smelt_iron_ingot--core-seed-11002,unknown,7e4446d660a540f5a416b100cf23697a,hard-32-smelt_iron_ingot--seed-12022,3,True,0
equip,ad36eb148e2340558df8bb332c7bb363:0:1,deterministic_controller_trace_reconstruction,df6fd6298ac49a3e65324736ad4adae8db9eeb73808351ceee26aa719abc267e,hard-35-craft_iron_pickaxe--core-seed-11001,none,d27d2b04c40d4815a584e5e7901bbc90,hard-35-craft_iron_pickaxe--seed-12011,20,True,1
mine,7457e2a55b044f27a111ed6cbb69c169:2:2,deterministic_controller_trace_reconstruction,b88e12e984b3257a3beb764843b26b52c571630c413390381a40df1d6b5a4344,complex-43-craft_dropper--core-seed-11001,none,13eba6f87eca43b795998afc21bf5b13,complex-43-craft_dropper--seed-12005,7,True,1
dig_down,e19b8c4fe84b4f2e9f85cf44237a287a:0:1,deterministic_controller_trace_reconstruction,68030c11d2ea783276c8e6c7aea52fa4157fa484236455de1a799fb0b97bc35b,hard-32-smelt_iron_ingot--core-seed-11002,none,0352bd99a0e64be6b75afe48224dd172,hard-32-smelt_iron_ingot--seed-12022,1,True,1
